Fold,Alpha,kNN,Clase,Accuracy,Presicion,Recall,F1_score
5,20,8,5,0.993310237725,0.962962962963,0.962962962963,0.962962962963
5,20,8,6,0.996416198782,0.972651605232,0.991515151515,0.981992797119
5,20,8,7,0.99426591805,0.972602739726,0.972602739726,0.972602739726
5,20,8,8,0.992354557401,0.967418546366,0.953086419753,0.960199004975
5,20,8,9,0.98829291602,0.928821470245,0.955582232893,0.94201183432
5,20,8,average,0.994050889977,0.97013786987,0.969982204108,0.970008211017
5,21,2,0,0.998325959584,0.990303030303,0.992709599028,0.991504854369
5,21,2,1,0.997967236638,0.988272921109,0.993569131833,0.990913949759
5,21,2,2,0.99581489896,0.981840193705,0.975932611312,0.978877489439
5,21,2,3,0.990075331819,0.958968347011,0.944572748268,0.95171611402
5,21,2,4,0.993303838336,0.968905472637,0.961728395062,0.965303593556
5,21,2,5,0.993064689705,0.964047936085,0.958940397351,0.961487383798
5,21,2,6,0.996651919168,0.976105137395,0.990303030303,0.983152827918
5,21,2,7,0.993423412651,0.968109339408,0.96921322691,0.968660968661
5,21,2,8,0.990912352027,0.955279503106,0.950556242274,0.952912019827
5,21,2,9,0.987564271195,0.931442080378,0.9448441247,0.938095238095
5,21,2,average,0.993710391008,0.968327396114,0.968236950704,0.968262443944
5,21,3,0,0.998565451285,0.992709599028,0.992709599028,0.992709599028
5,21,3,1,0.997609085475,0.986155484558,0.992497320472,0.989316239316
5,21,3,2,0.99521817095,0.975961538462,0.975961538462,0.975961538462
5,21,3,3,0.991153616258,0.965882352941,0.948036951501,0.956876456876
5,21,3,4,0.99426180514,0.97506234414,0.965432098765,0.970223325062
5,21,3,5,0.993903167962,0.968085106383,0.964238410596,0.966157929662
5,21,3,6,0.996652719665,0.976133651551,0.990314769976,0.983173076923
5,21,3,7,0.99426180514,0.973744292237,0.9715261959,0.972633979475
5,21,3,8,0.992588164973,0.966292134831,0.95673671199,0.96149068323
5,21,3,9,0.989360430365,0.93661971831,0.957983193277,0.947181008902
5,21,3,average,0.994357441721,0.971664622244,0.971543678997,0.971572383694
5,21,4,0,0.998326359833,0.990303030303,0.992709599028,0.991504854369
5,21,4,1,0.997967722654,0.988272921109,0.993569131833,0.990913949759
5,21,4,2,0.995576808129,0.977163461538,0.978339350181,0.977751052315
5,21,4,3,0.991751344889,0.96937573616,0.950346420323,0.959766763848
5,21,4,4,0.994381350867,0.976309226933,0.965474722565,0.970861748295
5,21,4,5,0.993903167962,0.965608465608,0.966887417219,0.9662475182
5,21,4,6,0.996772265392,0.977299880526,0.990314769976,0.983764281419
5,21,4,7,0.99426180514,0.972633979475,0.972633979475,0.972633979475
5,21,4,8,0.993185893604,0.968827930175,0.96044499382,0.964618249534
5,21,4,9,0.98983861327,0.942148760331,0.956834532374,0.949434860202
5,21,4,average,0.994596533174,0.972794339216,0.972755491679,0.972749725742
5,21,5,0,0.99832675989,0.989117291415,0.993924665857,0.991515151515
5,21,5,1,0.997370622684,0.984076433121,0.992505353319,0.988272921109
5,21,5,2,0.995577865424,0.979468599034,0.975932611312,0.977697408077
5,21,5,3,0.9915142823,0.967136150235,0.950403690888,0.958696916812
5,21,5,4,0.994263176766,0.976309226933,0.964285714286,0.970260223048
5,21,5,5,0.994024142464,0.966887417219,0.966887417219,0.966887417219
5,21,5,6,0.996892554082,0.977299880526,0.991515151515,0.984356197353
5,21,5,7,0.994263176766,0.970488081725,0.974914481186,0.972696245734
5,21,5,8,0.992948488108,0.971141781681,0.955555555556,0.963285625389
5,21,5,9,0.989362973587,0.939716312057,0.954381752701,0.946992257296
5,21,5,average,0.994454404207,0.972164117394,0.972030639384,0.972066036355
5,21,6,0,0.998445719751,0.990314769976,0.993924665857,0.992116434203
5,21,6,1,0.997608799617,0.985122210414,0.993569131833,0.989327641409
5,21,6,2,0.995695839311,0.978313253012,0.978313253012,0.978313253012
5,21,6,3,0.991630798661,0.96937573616,0.949250288351,0.959207459207
5,21,6,4,0.994739359158,0.978776529338,0.966707768187,0.97270471464
5,21,6,5,0.994261119082,0.968169761273,0.968169761273,0.968169761273
5,21,6,6,0.996891439503,0.976133651551,0.992718446602,0.984356197353
5,21,6,7,0.994380679101,0.97052154195,0.976054732041,0.973280272882
5,21,6,8,0.992826398852,0.969962453066,0.955610357583,0.962732919255
5,21,6,9,0.989717838355,0.943127962085,0.954436450839,0.948748510131
5,21,6,average,0.994619799139,0.972981786883,0.972875485558,0.972895716336
5,21,7,0,0.998207242739,0.987922705314,0.993924665857,0.990914597214
5,21,7,1,0.997251105534,0.984076433121,0.991443850267,0.987746403836
5,21,7,2,0.994860762519,0.975874547648,0.972355769231,0.974111980734
5,21,7,3,0.99163379945,0.969339622642,0.949191685912,0.959159859977
5,21,7,4,0.994382693917,0.978670012547,0.962962962963,0.970752955818
5,21,7,5,0.994263176766,0.966974900925,0.969536423841,0.968253968254
5,21,7,6,0.99665351978,0.974970202622,0.991515151515,0.983173076923
5,21,7,7,0.994143659615,0.97149372862,0.972602739726,0.972047917855
5,21,7,8,0.992350902354,0.968592964824,0.951851851852,0.960149439601
5,21,7,9,0.989123939285,0.935597189696,0.956886227545,0.94612196566
5,21,7,average,0.994287080196,0.971351230796,0.971227132871,0.971243216587
5,21,8,0,0.998445905559,0.991515151515,0.992718446602,0.992116434203
5,21,8,1,0.997489539749,0.984093319194,0.993576017131,0.988811933937
5,21,8,2,0.995098625224,0.97823458283,0.972355769231,0.975286317058
5,21,8,3,0.991870890616,0.96937573616,0.951445086705,0.96032672112
5,21,8,4,0.994500896593,0.978723404255,0.964241676942,0.971428571429
